Ингредиент,"Белки, г","Жиры, г","Углеводы, г","Энергетическая ценность, кКал","Клетчатка, г","Лактоза, г","Глютен, г","Стоимость, руб/кг",Тэг
Вода,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Молоко цельное 3,2%",3.0,3.5,4.7,62.0,0.0,4.7,0.0,65.0,"#аллерген, лактоза, #молочные_продукты"
"Молоко 2,5%",2.9,2.5,4.8,54.0,0.0,4.8,0.0,62.0,"#аллерген, лактоза, #молочные_продукты"
Молоко обезжиренное,3.0,0.1,4.9,32.0,0.0,4.9,0.0,55.0,"#аллерген, лактоза, #молочные_продукты"
Сливки 10%,2.6,10.0,4.0,120.0,0.0,4.0,0.0,200.0,"#аллерген, лактоза, #молочные_продукты"
Сливки 20%,2.5,20.0,4.0,207.0,0.0,4.0,0.0,265.0,"#аллерген, лактоза, #молочные_продукты"
Сливки 33%,1.8,33.0,3.2,317.0,0.0,3.2,0.0,475.0,"#аллерген, лактоза, #молочные_продукты"
Сливки 35%,2.2,35.0,3.2,337.0,0.0,3.2,0.0,506.0,"#аллерген, лактоза, #молочные_продукты"
Крем чиз,7.3,28.0,2.1,289.0,0.0,2.1,0.0,511.0,"#аллерген, лактоза, #молочные_продукты"
Маскарпоне,4.8,41.5,4.8,412.0,0.0,1.0,0.0,714.0,"#аллерген, лактоза, #молочные_продукты"
Йогурт обезжиренный,6.0,2.0,5.0,70.0,0.0,1.0,0.0,120.0,"#аллерген, лактоза, #молочные_продукты"
"Йогурт 3,5%",3.0,3.5,7.0,85.0,0.0,1.0,0.0,150.0,"#аллерген, лактоза, #молочные_продукты"
Йогурт греческий,8.0,2.0,4.2,70.0,0.0,1.0,0.0,210.0,"#аллерген, лактоза, #молочные_продукты"
Творог обезжиренный,18.0,1.5,1.5,90.0,0.0,0.0,0.0,210.0,"#аллерген, лактоза, #молочные_продукты"
Творог обычный,16.0,5.0,2.8,120.0,0.0,0.0,0.0,240.0,"#аллерген, лактоза, #молочные_продукты"
Молоко сгущенное цельное,7.2,8.5,55.5,328.0,0.0,11.28,0.0,175.0,"#аллерген, лактоза, #молочные_продукты"
Молоко сгущенное обезжиренное,7.5,0.2,56.8,259.0,0.0,12.25,0.0,140.0,"#аллерген, лактоза, #молочные_продукты"
Мука пшеничная в/с,9.2,1.4,70.0,364.0,2.4,0.0,9.2,29.0,"#аллерген, глютен"
Мука пшеничная 1 с,11.1,1.5,68.0,329.0,4.9,0.0,11.1,38.0,"#аллерген, глютен"
Мука пшеничная цельнозерновая,13.0,2.5,61.3,340.0,11.0,0.0,13.0,52.25,"#аллерген, глютен"
Мука рисовая,7.5,0.5,77.5,360.0,0.0,0.0,0.0,118.0,
Мука гречневая,12.6,2.6,72.0,334.0,0.0,0.0,0.0,109.0,
Мука кукурузная,0.0,1.5,72.0,340.0,0.0,0.0,0.0,42.0,
Мука полбяная,17.0,2.4,60.0,382.0,0.0,0.0,15.0,90.0,"#аллерген, глютен"
Мука овсяная,13.0,6.8,65.0,369.0,4.5,0.0,4.5,71.25,"#аллерген, глютен"
Крахмал картофельный,7.0,0.0,78.0,375.0,6.0,0.0,0.0,71.0,
Крахмал кукурузный,1.0,0.6,85.0,343.0,1.7,0.0,0.0,70.0,
Крахмал рисовый,0.3,0.8,83.0,375.0,0.0,0.0,0.0,118.0,
Крахмал тапиоки,0.0,0.0,85.0,360.0,0.0,0.0,0.0,210.0,
Отруби пшеничные,16.0,4.3,17.0,216.0,43.0,0.0,16.0,33.25,"#аллерген, глютен, #источник_клетчатки"
Тесто Катаифи,10.0,1.4,70.0,364.0,2.4,0.0,9.2,1040.0,"#аллерген, глютен"
Молоко сухое цельное (СЦМ),26.0,27.0,38.0,496.0,0.0,38.0,0.0,430.0,"#аллерген, лактоза, #молочные_продукты, #источник_белка"
Молоко сухое обезжиренное (СОМ,33.2,1.0,52.6,362.0,0.0,52.6,0.0,250.0,"#аллерген, лактоза, #молочные_продукты, #источник_белка"
Сыворотка сухая подсырная деминерализованная,11.0,1.5,70.0,333.0,0.0,70.0,0.0,98.0,"#аллерген, лактоза, #молочные_продукты"
Сыр сухой 38% жира,18.0,40.0,36.0,576.0,0.0,36.0,0.0,1763.0,"#аллерген, лактоза, #молочные_продукты, #источник_белка"
Пахта сухая,34.3,5.8,49.0,387.0,0.0,49.0,0.0,240.0,"#аллерген, лактоза, #молочные_продукты, #источник_белка"
Сахар,0.0,0.0,100.0,399.0,0.0,0.0,0.0,64.5,#сахар
Сахарная пудра,0.0,0.0,100.0,399.0,0.0,0.0,0.0,97.0,#сахар
Глюкоза сухая,0.0,0.0,100.0,399.0,0.0,0.0,0.0,138.0,#сахар
Инвертный сахар (сироп),0.0,0.0,68.0,271.32,0.0,0.0,0.0,120.0,"#сахар, #без_добавленного_сахара"
Фруктоза,0.0,0.0,100.0,399.0,0.0,0.0,0.0,406.0,"#сахар, #без_добавленного_сахара"
Лактоза,0.0,0.0,100.0,399.0,0.0,100.0,0.0,360.0,"#сахар, #без_добавленного_сахара"
Патока 42 DE,0.0,0.0,78.3,316.0,0.0,0.0,0.0,61.5,"#сахар, #без_добавленного_сахара"
Высоко-фруктозный сироп,0.0,0.0,81.0,324.0,0.0,0.0,0.0,57.0,"#сахар, #без_добавленного_сахара"
Мальтодекстрин 20DE,0.0,0.0,100.0,399.0,0.0,0.0,0.0,78.0,"#сахар, #без_добавленного_сахара"
Мальтодекстрин 10DE,0.0,0.0,100.0,399.0,0.0,0.0,0.0,75.0,"#сахар, #без_добавленного_сахара"
Мед,0.0,0.0,80.0,328.0,0.0,0.0,0.0,199.0,"#сахар, #без_добавленного_сахара"
Сироп агавы,0.0,0.0,68.0,260.0,0.0,0.0,0.0,1600.0,"#сахар, #без_добавленного_сахара"
Сироп топинамбура,0.0,0.0,65.5,264.0,0.0,0.0,0.0,398.0,"#сахар, #без_добавленного_сахара"
Финиковая паста,1.4,0.0,67.0,264.0,0.0,0.0,0.0,130.0,"#сахар, #без_добавленного_сахара"
Паста из инжира,4.4,7.2,39.3,242.0,10.2,0.0,0.0,380.0,"#сахар, #без_добавленного_сахара"
Изомальт,0.0,0.0,98.0,200.0,0.0,0.0,0.0,430.0,"#без_сахара, #слабительный_эффект"
Мальтит (Мальтитол),0.0,0.0,60.0,210.0,0.0,0.0,0.0,525.0,"#без_сахара, #слабительный_эффект"
Сорбит (Сорбитол),0.0,0.0,95.0,238.0,0.0,0.0,0.0,292.0,"#без_сахара, #слабительный_эффект"
Лактит (Лактитол),0.0,0.0,0.0,238.0,0.0,0.0,0.0,638.85,"#без_сахара, #слабительный_эффект"
Ксилит (Ксилитол),0.0,0.0,0.0,238.0,0.0,0.0,0.0,456.32,"#без_сахара, #слабительный_эффект"
Эритрит (Эритритол),0.0,0.0,0.0,20.0,0.0,0.0,0.0,246.4,"#без_сахара, #слабительный_эффект"
Полидекстроза,0.0,0.0,0.0,100.0,80.0,0.0,0.0,252.7,"#без_сахара, #источник_клетчатки"
Инулин,0.0,0.0,0.0,200.0,80.0,0.0,0.0,602.31,"#без_сахара, #источник_клетчатки"
Аллулоза,0.0,0.0,0.0,40.0,0.0,0.0,0.0,550.0,"#без_сахара, #слабительный_эффект"
Тэгазоза,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,"#без_сахара, #слабительный_эффект"
Сукралоза,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4750.0,#без_сахара
Стевиолгликозиды,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3185.0,#без_сахара
Сироп сорбитола (70%),0.0,0.0,66.5,166.6,0.0,0.0,0.0,147.0,"#без_сахара, #слабительный_эффект"
Яйцо цельное,16.7,20.5,1.0,155.0,0.0,0.0,0.0,72.0,"#аллерген, яйцо, #яичные_продукты"
Яичный меланж,16.7,20.5,1.0,155.0,0.0,0.0,0.0,210.0,"#аллерген, яйцо, #яичные_продукты"
Сухой яичный порошок,46.0,37.3,3.0,542.0,0.0,0.0,0.0,630.0,"#аллерген, яйцо, #яичные_продукты"
Желток жидкий,16.2,31.2,3.6,354.0,0.0,0.0,0.0,319.0,"#аллерген, яйцо, #яичные_продукты"
Белок жидкий,11.0,0.0,0.0,52.0,0.0,0.0,0.0,165.0,"#аллерген, яйцо, #яичные_продукты"
Белок яичный сухой (альбумин),82.4,1.8,0.0,350.0,0.0,0.0,0.0,1250.0,"#источник_белка, #аллерген, яйцо"
Соевый изолят (80%),81.0,3.4,1.0,338.0,6.0,0.0,0.0,335.0,"#источник_белка, #аллерген, соя"
Изолят сывороточных белков (90%),90.0,1.0,3.0,381.0,0.0,3.0,0.0,3249.0,"#источник_белка, #аллерген, лактоза, #молочные_продукты"
Казеинат натрия,96.0,0.0,0.0,371.0,0.0,0.2,0.0,830.0,"#источник_белка, #аллерген, лактоза, #молочные_продукты"
Коллаген говяжий гидролизованный (90%),90.0,1.0,4.0,381.0,0.0,0.0,0.0,1030.0,#источник_белка
Глютен Клейковина пшеничная,70.0,0.0,18.0,350.0,0.0,0.0,70.0,165.0,"#источник_белка, #аллерген, глютен"
Изолят гороховых белков,81.7,0.8,0.0,371.0,9.0,0.0,0.0,675.0,#источник_белка
"Масло сливочное 82,5%",0.6,82.5,0.0,748.0,0.0,0.8,0.0,535.0,"#источник_жиров, #молочные_продукты"
"Масло сливочное 72,5%",0.8,72.0,0.0,717.0,0.0,1.3,0.0,500.0,"#источник_жиров, #молочные_продукты"
"Маргарин 82,5%",0.8,82.5,0.0,748.0,0.0,0.0,0.0,124.5,#источник_жиров
Масло подсолнечное,0.0,100.0,0.0,899.0,0.0,0.0,0.0,110.0,#источник_жиров
Масло кокосовое негидрогенизированное,0.0,100.0,0.0,899.0,0.0,0.0,0.0,230.0,#источник_жиров
Масло кокосовое гидрогенизированное,0.0,100.0,0.0,899.0,0.0,0.0,0.0,294.4,#источник_жиров
Масло пальмовое гидрогенизированное,0.0,100.0,0.0,899.0,0.0,0.0,0.0,230.0,#источник_жиров
Заменитель молочного жира (ЗМЖ),0.0,100.0,0.0,899.0,0.0,0.0,0.0,190.0,#источник_жиров
Заменитель какао масла (ЗМК),0.0,100.0,0.0,899.0,0.0,0.0,0.0,625.0,#источник_жиров
Глицерин,0.0,100.0,0.0,720.0,0.0,0.0,0.0,250.0,#источник_жиров
Какао масло,0.0,100.0,0.0,899.0,0.0,0.0,0.0,2600.0,#источник_жиров
Какао порошок 11%,20.0,14.0,23.0,228.0,33.0,0.0,0.0,780.0,"#какао_продукты, #источник_клетчатки"
Какао порошок обезжиренный,22.0,7.0,26.0,228.0,40.0,0.0,0.0,854.0,"#какао_продукты, #источник_клетчатки"
Какао тертое,13.5,49.4,13.6,559.0,16.5,0.0,0.0,1600.0,#какао_продукты
Молочный шоколад/глазурь,9.8,35.0,50.4,554.0,12.0,5.0,0.0,380.0,#какао_продукты
Белый шоколад/глазурь,6.0,32.0,59.0,539.0,0.0,6.0,0.0,390.0,#какао_продукты
Темный шоколад/глазурь 50%,8.0,25.0,50.0,539.0,13.2,0.0,0.0,1100.0,#какао_продукты
Темный шоколад/глазурь 60%,8.8,27.5,40.0,539.0,14.52,0.0,0.0,1450.0,#какао_продукты
Темный шоколад/глазурь 70%,9.6,30.0,30.0,539.0,15.84,0.0,0.0,1510.0,#какао_продукты
Темный шоколад/глазурь 80%,10.4,32.5,20.0,539.0,17.16,0.0,0.0,1580.0,#какао_продукты
Паста из фисташек 100% без сахара,20.0,49.0,16.0,580.0,15.0,0.0,0.0,2844.0,"#аллерген, орехи, #источник_белка"
Паста из фундука 100% без сахара,16.0,55.0,18.0,640.0,11.0,0.0,0.0,744.0,"#аллерген, орехи"
Пюре маракуйя 21% сухих без сахара,2.0,0.65,18.5,110.0,12.0,0.0,0.0,1072.0,
Пюре вишня 28% сухих без сахара,0.8,0.0,27.0,117.0,16.0,0.0,0.0,413.0,
Пюре малина 60% сухих без сахара,4.5,1.0,53.0,245.0,0.0,0.0,0.0,638.0,
Кокосовая стружка,5.0,64.0,15.0,660.0,16.0,0.0,0.0,250.0,#сахар
Арахис жареный (соленый),26.0,52.0,13.4,626.0,4.8,0.0,0.0,280.0,"#аллерген, орехи, #источник_белка"
Начинка а-ля Нутелла Кранч,9.1,39.0,45.0,577.0,4.9,5.0,0.0,800.0,"#аллерген, орехи, #сахар"
Начинка Вишня 80% с кусочками фруктов,0.6,0.1,37.0,150.0,3.0,0.0,0.0,519.0,#сахар
Начинка Апельсин 30%,0.0,0.0,54.0,220.0,2.0,0.0,0.0,219.0,#сахар
Соль,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,#добавки
Сорбат калия,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,#добавки
Ванилин,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,#добавки
Ароматизатор 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,#добавки
Ароматизатор 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,#добавки
Ароматизатор 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,#добавки
Корица,0.0,0.0,0.0,0.0,100.0,0.0,0.0,395.0,"#добавки, #источник_клетчатки"
Сода пищевая,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,#добавки
Разрыхлитель,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,#добавки
Желатин (Блюм в примечании),87.2,0.4,0.0,355.0,0.0,0.0,0.0,598.0,"#добавки, #источник_белка"
Агар-Агар,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1830.0,"#добавки, #источник_клетчатки"
Каррагинан Йота,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1380.0,"#добавки, #источник_клетчатки"
Каррагинан Каппа,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1518.0,"#добавки, #источник_клетчатки"
Каррагинан Лямбда,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2980.0,"#добавки, #источник_клетчатки"
Гуаровая камедь,0.0,0.0,0.0,0.0,100.0,0.0,0.0,290.0,"#добавки, #источник_клетчатки"
Ксантановая камедь,0.0,0.0,0.0,0.0,100.0,0.0,0.0,610.0,"#добавки, #источник_клетчатки"
Кэроб гам,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2852.0,"#добавки, #источник_клетчатки"
Конжаковая камедь,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1794.0,"#добавки, #источник_клетчатки"
Альгинат натрия,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1840.0,"#добавки, #источник_клетчатки"
Кислота лимонная,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,#добавки
Кислота яблочная,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,#добавки
Кислота молочная,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,#добавки
Водорастворимая клетчатка (Биоцель),0.0,0.0,0.0,0.0,94.0,0.0,0.0,245.0,"#добавки, #источник_клетчатки"
Добавка 1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1000.0,"#добавки, #источник_клетчатки"
Добавка 2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1000.0,"#добавки, #источник_клетчатки"
HPMC (Гидроксипропил Метилцеллюлоза) Е-464,0.0,0.0,0.0,0.0,100.0,0.0,0.0,464.0,"#добавки, #источник_клетчатки"
Пектин низкоэритифицированный,0.0,0.0,0.0,0.0,100.0,0.0,0.0,600.0,"#добавки, #источник_клетчатки"
Пектин высокоэритифицированный,0.0,0.0,0.0,0.0,100.0,0.0,0.0,700.0,"#добавки, #источник_клетчатки"
Эмульгатор ПГПР Е-476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,400.0,#добавки
Лецитин соевый,0.0,80.0,0.0,772.0,0.0,0.0,0.0,270.0,"#добавки, #аллерген, соя"
